institution_name,TeamID,year,lookup,opexpperpart_men,opexpperteam_men,rev_men,exp_men
Modesto Junior College,0,2011,2011-0,1466,19053,124050,118948
Monterey Peninsula College,0,2011,2011-0,1093,15302,47725,47725
Moorpark College,0,2011,2011-0,1047,14655,53770,51227
Mt San Antonio College,0,2011,2011-0,1203,18050,63740,63739
Mt. San Jacinto Community College District,0,2011,2011-0,380,5697,58095,50289
Napa Valley College,0,2011,2011-0,1049,13633,88896,88896
Notre Dame de Namur University,0,2011,2011-0,4344,69500,206810,206810
Occidental College,0,2011,2011-0,1744,26154,171585,162997
Ohlone College,0,2011,2011-0,1768,24758,101334,101131
Orange Coast College,0,2011,2011-0,980,16654,73319,66034
Oxnard College,0,2011,2011-0,1344,16133,60275,60275
Hope International University,0,2011,2011-0,1423,17071,354115,250617
Pacific Union College,0,2011,2011-0,1594,20726,42236,38526
University of the Pacific,1334,2011,2011-1334,21121,380172,1910984,1910984
Palomar College,0,2011,2011-0,779,12464,35704,28235
Pasadena City College,0,2011,2011-0,2390,35850,75031,75031
Pepperdine University,1337,2011,2011-1337,13150,223550,1991599,1991599
Point Loma Nazarene University,0,2011,2011-0,2304,25341,322250,316763
Pomona College,0,2011,2011-0,1254,23821,102695,101320
Porterville College,0,2011,2011-0,1427,21411,57402,57402
Santa Ana College,0,2011,2011-0,713,12832,82856,73670
University of Redlands,0,2011,2011-0,655,11789,163947,161700
College of the Redwoods,0,2011,2011-0,2425,29100,56141,53599
Rio Hondo College,0,2011,2011-0,449,8523,38839,38839
Riverside Community College,0,2011,2011-0,765,11475,65581,63585
Sacramento City College,0,2011,2011-0,579,10418,22988,20626
Saddleback College,0,2011,2011-0,1539,24630,77000,67427
San Diego City College,0,2011,2011-0,759,11391,43183,42714
San Diego Mesa College,0,2011,2011-0,702,9830,46584,46584
San Diego Miramar College,0,2011,2011-0,151,2261,19855,19855
San Diego State University,1361,2011,2011-1361,39317,589762,4102398,3203060
University of San Diego,1360,2011,2011-1360,14245,256401,2425380,2425380
San Francisco State University,0,2011,2011-0,3833,53655,190443,186590
University of San Francisco,1362,2011,2011-1362,17720,265806,2285832,2285832
San Joaquin Delta College,0,2011,2011-0,2201,24209,71638,68295
William Jessup University,0,2011,2011-0,2443,48858,258850,258850
San Jose City College,0,2011,2011-0,968,13549,95709,95709
San Jose State University,0,2011,2011-0,26510,371140,937770,1046029
College of San Mateo,0,2011,2011-0,0,0,,
Santa Barbara City College,0,2011,2011-0,1178,18850,76332,76332
Santa Clara University,0,2011,2011-0,15948,207320,1655920,1655920
Santa Monica College,0,2011,2011-0,1124,17986,55127,55127
Santa Rosa Junior College,0,2011,2011-0,1227,15948,61033,46095
College of the Sequoias,0,2011,2011-0,594,6537,45546,39032
Shasta College,0,2011,2011-0,1544,23157,50757,49807
Sierra College,0,2011,2011-0,786,10224,169100,166810
Simpson University,0,2011,2011-0,1473,23568,92120,92120
College of the Siskiyous,0,2011,2011-0,1326,22542,58828,53794
Skyline College,0,2011,2011-0,1868,29888,61595,61595
