institution_name,TeamID,year,lookup,opexpperpart_men,opexpperteam_men,rev_men,exp_men
College of DuPage,0,2018,2018-0,1437,18682,53923,53923
Eastern Illinois University,0,2018,2018-0,13461,188458,1032512,1032512
Elgin Community College,0,2018,2018-0,1908,32430,66318,66318
Elmhurst College,0,2018,2018-0,1389,38902,180979,177889
Eureka College,0,2018,2018-0,1526,32055,85233,85233
Governors State University,0,2018,2018-0,2367,30768,251780,134118
Greenville College,0,2018,2018-0,911,30060,169744,141438
Highland Community College,0,2018,2018-0,5000,60000,136583,128872
University of Illinois at Chicago,1227,2018,2018-1227,29140,495377,2417955,2417955
Benedictine University,0,2018,2018-0,2294,130760,416310,378595
University of Illinois at Urbana-Champaign,1228,2018,2018-1228,81756,1308101,15827099,10404451
Illinois Wesleyan University,0,2018,2018-0,2933,67457,169925,169925
Illinois Central College,0,2018,2018-0,1573,25170,146285,146285
Illinois College,0,2018,2018-0,1488,40164,139542,139542
Olney Central College,0,2018,2018-0,2217,26609,181983,167703
Illinois Institute of Technology,0,2018,2018-0,3959,59379,148191,148191
Illinois State University,0,2018,2018-0,27887,418305,2311466,2311466
Illinois Valley Community College,0,2018,2018-0,1130,15815,86879,68041
John A Logan College,0,2018,2018-0,3029,42411,248599,248599
John Wood Community College,0,2018,2018-0,2446,34240,89396,122233
Joliet Junior College,0,2018,2018-0,1315,19729,41907,38742
Judson University,0,2018,2018-0,1933,50253,355389,355389
Kankakee Community College,0,2018,2018-0,2323,27881,165892,165892
Kaskaskia College,0,2018,2018-0,1134,15870,154517,154517
Kishwaukee College,0,2018,2018-0,2298,25278,51912,45842
Knox College,0,2018,2018-0,3141,69091,189041,189041
College of Lake County,0,2018,2018-0,1715,24015,68807,51730
Lake Forest College,0,2018,2018-0,2434,36511,131484,131484
Lake Land College,0,2018,2018-0,1690,27032,159453,156817
Lewis and Clark Community College,0,2018,2018-0,3620,50677,189978,187920
Lewis University,0,2018,2018-0,5901,88513,585089,585089
Lincoln Christian University,0,2018,2018-0,1630,27707,77288,72579
Lincoln College,0,2018,2018-0,2493,34906,230497,230497
Lincoln Land Community College,0,2018,2018-0,1080,16204,121090,120754
Loyola University Chicago,1260,2018,2018-1260,31277,594257,2821576,2821576
MacMurray College,0,2018,2018-0,1337,30740,109678,109678
McHenry County College,0,2018,2018-0,1095,14238,57603,51987
McKendree University,0,2018,2018-0,4054,60805,766009,712462
Millikin University,0,2018,2018-0,1757,45684,236829,233154
Monmouth College,0,2018,2018-0,1638,29487,91173,91173
Moody Bible Institute,0,2018,2018-0,1632,16324,88376,88376
Moraine Valley Community College,0,2018,2018-0,1503,16536,65373,65373
Morton College,0,2018,2018-0,1078,14020,56364,40356
North Central College,0,2018,2018-0,2520,40318,283115,272628
North Park University,0,2018,2018-0,1383,34579,211211,211211
Northern Illinois University,0,2018,2018-0,33139,530227,2004332,2004332
Northwestern University,1321,2018,2018-1321,129765,1816709,14581162,8549357
Oakton Community College,0,2018,2018-0,969,13566,44427,44427
Olivet Nazarene University,0,2018,2018-0,2914,61187,527567,452109
Parkland College,0,2018,2018-0,2664,42617,139240,136731
Prairie State College,0,2018,2018-0,766,10728,65610,65610
Quincy University,0,2018,2018-0,9647,173638,653683,661168
Rend Lake College,0,2018,2018-0,2267,29468,121732,124260
Robert Morris University Illinois,0,2018,2018-0,1074,147196,1317041,1317041
Rock Valley College,0,2018,2018-0,1677,23483,42551,42551
Rockford University,0,2018,2018-0,1150,31047,132525,132525
Roosevelt University,0,2018,2018-0,3901,62423,209736,209736
Dominican University,0,2018,2018-0,1760,40491,131588,131588
University of St Francis,0,2018,2018-0,1969,45297,455467,451474
Saint Xavier University,0,2018,2018-0,1522,30434,407099,407099
University of Illinois at Springfield,0,2018,2018-0,4990,59883,449434,449434
Sauk Valley Community College,0,2018,2018-0,1745,26173,96618,96130
Shawnee Community College,0,2018,2018-0,1403,21050,98333,98333
Southeastern Illinois College,0,2018,2018-0,1840,22076,98104,98104
Southern Illinois University-Carbondale,0,2018,2018-0,39830,597454,2093251,2093251
Southern Illinois University-Edwardsville,0,2018,2018-0,11508,172622,1306501,1106537
South Suburban College,0,2018,2018-0,1906,30501,164217,164217
Trinity Christian College,0,2018,2018-0,1325,31800,235782,235782
Trinity International University-Illinois,0,2018,2018-0,4350,60904,446764,428061
Triton College,0,2018,2018-0,827,13230,65236,63425
Waubonsee Community College,0,2018,2018-0,2651,29159,69023,69023
Western Illinois University,0,2018,2018-0,24193,362899,1236707,1236707
Wheaton College,0,2018,2018-0,4301,64512,245450,245450
William Rainey Harper College,0,2018,2018-0,1085,17367,29067,29067
Anderson University,0,2018,2018-0,2471,39540,200428,166962
Ball State University,0,2018,2018-0,36828,552413,1922864,1922864
Bethel College-Indiana,0,2018,2018-0,6325,101194,483496,474216
Butler University,1139,2018,2018-1139,80514,1127194,6198953,5489704
Calumet College of Saint Joseph,0,2018,2018-0,3699,51792,222524,222524
DePauw University,0,2018,2018-0,2906,52299,279070,279070
Earlham College,0,2018,2018-0,3537,67195,211610,211610
University of Evansville,0,2018,2018-0,56432,790051,2622979,2622979
Franklin College,0,2018,2018-0,4062,60929,157549,156749
Goshen College,0,2018,2018-0,2524,42911,331978,331978
Grace College and Theological Seminary,0,2018,2018-0,2600,33804,280706,258903
Hanover College,0,2018,2018-0,2957,50276,243292,212851
Holy Cross College,0,2018,2018-0,4008,52109,283281,283281
Huntington University,0,2018,2018-0,4709,61223,683952,399722
Indiana University-Purdue University-Fort Wayne,0,2018,2018-0,31011,465166,1548148,1548148
Indiana University-Purdue University-Indianapolis,1237,2018,2018-1237,27734,471480,1556965,1556965
University of Indianapolis,0,2018,2018-0,7922,118826,835695,835695
Indiana Institute of Technology,0,2018,2018-0,2096,85927,513145,510720
University of Southern Indiana,0,2018,2018-0,5648,79074,666411,662919
Indiana State University,1232,2018,2018-1232,29385,440776,1884192,1866603
Indiana University-Kokomo,0,2018,2018-0,4274,68391,176151,176937
Indiana University-South Bend,0,2018,2018-0,3273,42544,138620,187662
Indiana University-Bloomington,1231,2018,2018-1231,155313,2485006,24560829,12855019
Indiana University-Northwest,0,2018,2018-0,1416,21237,52981,52985
Indiana University-Southeast,0,2018,2018-0,2982,41742,171732,171732
Indiana University-East,0,2018,2018-0,3755,56331,279674,279674
Manchester University,0,2018,2018-0,1442,36059,112575,111610
Marian University,0,2018,2018-0,3663,65941,434960,434960
Indiana Wesleyan University-Marion,0,2018,2018-0,7582,113737,829218,508212
University of Notre Dame,1323,2018,2018-1323,140914,1972790,3896784,6793853
Oakland City University,0,2018,2018-0,3468,45085,173003,157393
Purdue University-Calumet Campus,0,2018,2018-0,4356,74048,250752,250782
Rose-Hulman Institute of Technology,0,2018,2018-0,2227,44533,165095,165095
University of Saint Francis-Fort Wayne,0,2018,2018-0,2571,82273,819260,819260
Saint Mary-of-the-Woods College,0,2018,2018-0,0,0,,
Taylor University,0,2018,2018-0,6291,81782,490234,484570
Trine University,0,2018,2018-0,2483,64556,264794,256959
Valparaiso University,1434,2018,2018-1434,46363,602724,2504241,2397794
Vincennes University,0,2018,2018-0,4984,74763,606203,606203
Briar Cliff University,0,2018,2018-0,971,29129,453087,453087
Buena Vista University,0,2018,2018-0,2746,52183,222729,218704
Central College,0,2018,2018-0,989,35613,127573,127573
Clarke University,0,2018,2018-0,3032,63671,313934,313934
Coe College,0,2018,2018-0,1833,38497,196091,190986
Cornell College,0,2018,2018-0,1756,35122,160232,160232
Des Moines Area Community College,0,2018,2018-0,3323,46526,125340,125340
Dordt College,0,2018,2018-0,1948,56504,478076,478076
Drake University,1179,2018,2018-1179,35042,525625,2696721,2933596
University of Dubuque,0,2018,2018-0,2065,49556,258453,258453
Ellsworth Community College,0,2018,2018-0,1729,31116,80534,80534
Emmaus Bible College,0,2018,2018-0,1588,23825,46470,46470
Faith Baptist Bible College and Theological Seminary,0,2018,2018-0,1656,21534,30308,30308
Graceland University-Lamoni,0,2018,2018-0,1108,38782,347217,347217
Grand View University,0,2018,2018-0,1906,78165,497205,497205
Grinnell College,0,2018,2018-0,1933,42536,157008,157008
Indian Hills Community College,0,2018,2018-0,10404,156063,480069,480069
Iowa Central Community College,0,2018,2018-0,1096,24109,90583,90583
Iowa Lakes Community College,0,2018,2018-0,3235,45294,162683,162683
Iowa State University,1235,2018,2018-1235,108882,1633225,13604289,6858775
Iowa Wesleyan University,0,2018,2018-0,1353,33815,85815,85815
Iowa Western Community College,0,2018,2018-0,2425,33955,314698,314698
University of Iowa,1234,2018,2018-1234,107937,1619056,9707864,7215672
Kirkwood Community College,0,2018,2018-0,2140,36377,173057,173057
Loras College,0,2018,2018-0,1959,54857,235118,235118
Luther College,0,2018,2018-0,2304,59907,190958,182876
Marshalltown Community College,0,2018,2018-0,1510,36240,223933,223933
Morningside College,0,2018,2018-0,1185,39099,510415,510147
Mount Mercy University,0,2018,2018-0,2322,69674,275512,275512
North Iowa Area Community College,0,2018,2018-0,2853,54213,179651,151598
University of Northern Iowa,1320,2018,2018-1320,29110,465767,2856369,2856369
Northwestern College,0,2018,2018-0,1391,38945,553776,553776
Saint Ambrose University,0,2018,2018-0,1113,55656,358639,358639
Simpson College,0,2018,2018-0,1519,47078,177427,177427
Southeastern Community College,0,2018,2018-0,6245,74940,538411,538411
Southwestern Community College,0,2018,2018-0,1119,24612,88426,88426
Upper Iowa University,0,2018,2018-0,6859,109751,574736,574736
Waldorf University,0,2018,2018-0,2983,59667,312811,312811
Wartburg College,0,2018,2018-0,2219,55483,181366,181366
William Penn University,0,2018,2018-0,2930,52737,461723,457469
Allen County Community College,0,2018,2018-0,2691,37678,90939,90939
Baker University,0,2018,2018-0,2747,41210,394444,392450
Barton County Community College,0,2018,2018-0,1508,24132,228706,228706
Benedictine College,0,2018,2018-0,2079,37428,683507,683507
Bethany College,0,2018,2018-0,831,47361,897585,897585
Bethel College-North Newton,0,2018,2018-0,1060,23317,275584,263676
Brown Mackie College-Salina,0,2018,2018-0,2691,45749,172463,172463
Butler Community College,0,2018,2018-0,1133,13596,216982,207150
Central Christian College of Kansas,0,2018,2018-0,1139,34178,257300,250151
Cloud County Community College,0,2018,2018-0,2039,28548,203348,198850
Coffeyville Community College,0,2018,2018-0,3827,49746,256996,223827
Colby Community College,0,2018,2018-0,1524,25900,150948,142245
Cowley County Community College,0,2018,2018-0,3464,51962,221922,218825
Dodge City Community College,0,2018,2018-0,2633,36858,196789,189463
Emporia State University,0,2018,2018-0,6403,102445,523797,523797
Fort Hays State University,0,2018,2018-0,17890,250465,689129,629915
Barclay College,0,2018,2018-0,1035,20693,33865,33679
Friends University,0,2018,2018-0,1226,42910,350901,297745
Fort Scott Community College,0,2018,2018-0,1942,34947,141261,139947
Garden City Community College,0,2018,2018-0,2359,30663,203459,203459
Haskell Indian Nations University,0,2018,2018-0,1219,13404,96420,86959
Hesston College,0,2018,2018-0,2191,32861,167311,167112
Highland Community College,0,2018,2018-0,2827,39575,80721,148778
Hutchinson Community College,0,2018,2018-0,5272,79083,434837,434837
Independence Community College,0,2018,2018-0,1190,21420,184067,184067
Johnson County Community College,0,2018,2018-0,5924,77014,253829,253829
Kansas City Kansas Community College,0,2018,2018-0,2621,39319,250351,250351
Kansas Christian College,0,2018,2018-0,1161,36000,58000,54250
University of Kansas,1242,2018,2018-1242,143295,2149420,18266319,11126047
Newman University,0,2018,2018-0,3867,73470,505662,505662
Kansas State University,1243,2018,2018-1243,125977,2141603,9192918,7354065
Kansas Wesleyan University,0,2018,2018-0,1158,37044,336907,336907
Labette Community College,0,2018,2018-0,2490,37350,146611,146092
Manhattan Christian College,0,2018,2018-0,2230,33455,59990,59993
McPherson College,0,2018,2018-0,1081,29197,258680,258680
MidAmerica Nazarene University,0,2018,2018-0,927,38005,419129,413495
Neosho County Community College,0,2018,2018-0,1710,32491,146098,147995
Northwest Kansas Technical College,0,2018,2018-0,821,36113,209068,209068
Ottawa University-Ottawa,0,2018,2018-0,1093,38258,532930,534401
Pittsburg State University,0,2018,2018-0,6207,99315,613552,613552
Pratt Community College,0,2018,2018-0,2740,38366,173398,173298
University of Saint Mary,0,2018,2018-0,608,9731,142757,142757
Seward County Community College,0,2018,2018-0,2904,40651,191419,191419
Southwestern College,0,2018,2018-0,2355,58873,316006,316006
Sterling College,0,2018,2018-0,1966,60931,336474,349222
Tabor College,0,2018,2018-0,1751,45536,348547,348547
Washburn University,0,2018,2018-0,3253,113849,644633,644633
Wichita State University,1455,2018,2018-1455,69793,1186482,7426190,6380482
Alice Lloyd College,0,2018,2018-0,1458,24784,98026,97165
Asbury University,0,2018,2018-0,3980,59700,162750,162750
Bellarmine University,0,2018,2018-0,12836,192538,1238849,1238849
Berea College,0,2018,2018-0,3052,42732,153909,153909
Brescia University,0,2018,2018-0,1375,27501,281546,281546
Campbellsville University,0,2018,2018-0,4511,67664,549835,536800
Centre College,0,2018,2018-0,3898,54578,134845,134845
University of the Cumberlands,0,2018,2018-0,3746,52440,508769,508769
Eastern Kentucky University,1184,2018,2018-1184,16566,281621,1588554,1588554
Georgetown College,1207,2018,2018-1207,3231,51691,867520,867520
Kentucky State University,0,2018,2018-0,3718,59495,328084,328084
Kentucky Wesleyan College,0,2018,2018-0,6040,90595,607725,607725
University of Kentucky,1246,2018,2018-1246,186544,2798158,27965227,19180059
Kentucky Christian University,0,2018,2018-0,2380,38081,57208,57208
Lindsey Wilson College,0,2018,2018-0,1336,54764,632873,618795
University of Louisville,1257,2018,2018-1257,152654,2289807,43960492,17065364
Midway University,0,2018,2018-0,1346,36329,203143,203143
Morehead State University,1287,2018,2018-1287,18148,254074,1291001,1291001
Murray State University,1293,2018,2018-1293,23585,283024,3114154,1957966
Northern Kentucky University,1297,2018,2018-1297,31292,500668,1829151,1829151
University of Pikeville,0,2018,2018-0,5143,210859,681183,681183
Spalding University,0,2018,2018-0,3401,57822,93071,93071
Thomas More College,0,2018,2018-0,1068,37385,139552,114334
Transylvania University,0,2018,2018-0,3380,57458,368084,368084
Union College,0,2018,2018-0,2742,35651,301949,301949
Western Kentucky University,1443,2018,2018-1443,37104,556566,2618066,2618066
Bossier Parish Community College,0,2018,2018-0,2688,43010,191606,190913
Centenary College of Louisiana,0,2018,2018-0,4231,63460,141821,141821
Delgado Community College,0,2018,2018-0,1134,20415,157220,157220
Dillard University,0,2018,2018-0,7873,102352,472773,472773
Grambling State University,0,2018,2018-0,13575,203625,741120,741120
Louisiana State University-Alexandria,0,2018,2018-0,2926,73142,261549,261549
Louisiana State University and Agricultural & Mechanical College,1261,2018,2018-1261,65226,978387,8135734,6516369
Louisiana State University-Eunice,0,2018,2018-0,0,0,,
Louisiana State University-Shreveport,0,2018,2018-0,3408,51116,207201,207201
Louisiana College,0,2018,2018-0,3133,72068,233097,233097
Louisiana Tech University,0,2018,2018-0,36429,509999,2503640,2491705
Loyola University New Orleans,0,2018,2018-0,7944,103272,662781,645081
McNeese State University,1270,2018,2018-1270,15040,210558,882648,874651
University of New Orleans,1309,2018,2018-1309,15866,269717,983254,983254
Nicholls State University,0,2018,2018-0,12858,192866,843975,797660
University of Louisiana at Monroe,0,2018,2018-0,23510,305625,1382433,1382433
Northwestern State University of Louisiana,1322,2018,2018-1322,9335,242697,1166539,1166539
Southeastern Louisiana University,1368,2018,2018-1368,14240,227837,1195047,1195047
Southern University and A & M College,1380,2018,2018-1380,14135,254423,899950,899950
Southern University at New Orleans,0,2018,2018-0,787,11800,139654,139654
Southern University at Shreveport,0,2018,2018-0,2994,41913,173123,173123
University of Louisiana at Lafayette,1418,2018,2018-1418,29976,569538,2278475,2278475
Tulane University of Louisiana,0,2018,2018-0,43203,734449,4207110,4207110
Xavier University of Louisiana,0,2018,2018-0,6973,104598,676430,676430
Bates College,0,2018,2018-0,3150,56694,284142,248397
Bowdoin College,0,2018,2018-0,3385,44010,186027,181558
Central Maine Community College,0,2018,2018-0,1537,35355,52671,47671
Colby College,0,2018,2018-0,2929,49786,195106,195106
University of Maine at Augusta,0,2018,2018-0,1995,23935,45439,45439
University of Maine at Farmington,0,2018,2018-0,1812,25371,90294,90294
University of Maine at Fort Kent,0,2018,2018-0,3445,34449,76259,76259
University of Maine at Machias,0,2018,2018-0,170,2550,22100,20348
University of Maine,0,2018,2018-0,19559,332511,1296517,1296517
Maine Maritime Academy,0,2018,2018-0,4056,56785,115475,114435
University of Maine at Presque Isle,0,2018,2018-0,1951,23413,68248,68248
University of New England,0,2018,2018-0,2541,43205,158393,144984
Saint Joseph's College of Maine,0,2018,2018-0,3209,51349,75853,79775
Southern Maine Community College,0,2018,2018-0,2412,33770,39925,39925
University of Southern Maine,0,2018,2018-0,1941,31052,117070,130657
Thomas College,0,2018,2018-0,2005,36094,121158,110533
Unity College,0,2018,2018-0,1633,19600,25676,25676
Allegany College of Maryland,0,2018,2018-0,903,16248,30249,30249
Anne Arundel Community College,0,2018,2018-0,762,9146,20286,17820
Baltimore City Community College,0,2018,2018-0,3566,42786,184411,184411
Bowie State University,0,2018,2018-0,8661,112594,524118,481078
Cecil College,0,2018,2018-0,1604,24065,45890,45890
College of Southern Maryland,0,2018,2018-0,673,8750,47054,47054
Chesapeake College,0,2018,2018-0,2114,23259,39409,39409
Washington Adventist University,0,2018,2018-0,3619,36194,106194,103594
Coppin State University,1164,2018,2018-1164,13426,174543,827058,827058
Frederick Community College,0,2018,2018-0,764,11467,30588,28802
Frostburg State University,0,2018,2018-0,1791,28654,166630,166630
Garrett College,0,2018,2018-0,3238,35614,92180,92180
Goucher College,0,2018,2018-0,3686,51607,166422,164097
Hagerstown Community College,0,2018,2018-0,1133,15860,53502,48485
Harford Community College,0,2018,2018-0,4580,59536,81636,83789
Hood College,0,2018,2018-0,2238,40283,127122,127122
Howard Community College,0,2018,2018-0,982,16687,34464,33943
Johns Hopkins University,0,2018,2018-0,4004,60056,218548,218548
Loyola University Maryland,1259,2018,2018-1259,25172,377586,2137410,2137410
University of Maryland-Baltimore County,1420,2018,2018-1420,26034,338440,1548500,1548500
University of Maryland-College Park,1268,2018,2018-1268,85740,1371837,17741322,7442558
University of Maryland Eastern Shore,0,2018,2018-0,14317,243384,1139072,1064879
Montgomery College,0,2018,2018-0,3516,52740,60973,60973
Morgan State University,1288,2018,2018-1288,42219,548845,1948862,1474776
Mount St Mary's University,1291,2018,2018-1291,40255,603830,1987585,1987585
Notre Dame of Maryland University,0,2018,2018-0,0,0,,
Prince George's Community College,0,2018,2018-0,1927,28901,46154,46154
Salisbury University,0,2018,2018-0,3206,64129,161529,161529
St Mary's College of Maryland,0,2018,2018-0,1819,38195,253566,253566
Towson University,0,2018,2018-0,25212,352971,1948144,1948144
Stevenson University,0,2018,2018-0,5413,102850,210241,210241
Washington College,0,2018,2018-0,3497,55954,142704,142704
McDaniel College,0,2018,2018-0,3373,53975,164720,160387
American International College,0,2018,2018-0,1980,31677,582505,582505
Amherst College,0,2018,2018-0,2433,46223,339362,339362
Anna Maria College,0,2018,2018-0,1411,23994,69099,69099
Assumption College,0,2018,2018-0,4618,50802,739968,698383
Babson College,0,2018,2018-0,5819,87290,282433,278424
Becker College,0,2018,2018-0,891,13363,84464,84244
Bentley University,0,2018,2018-0,4097,57352,964896,958414
Boston College,1130,2018,2018-1130,90739,1451823,6814030,6212181
Boston University,1131,2018,2018-1131,20339,325427,1604601,2521092
Brandeis University,0,2018,2018-0,5894,82510,350609,350609
Bridgewater State University,0,2018,2018-0,1990,23875,114864,97065
Bristol Community College,0,2018,2018-0,1293,16809,28809,28809
Bunker Hill Community College,0,2018,2018-0,1450,26095,40337,40337
Clark University,0,2018,2018-0,4161,62420,213460,213460
Curry College,0,2018,2018-0,1937,38735,60893,60893
Dean College,0,2018,2018-0,1852,33336,52338,50195
Eastern Nazarene College,0,2018,2018-0,1290,20641,93152,93152
Emerson College,0,2018,2018-0,2796,44741,173935,171021
Emmanuel College,0,2018,2018-0,3206,44887,86018,85111
Endicott College,0,2018,2018-0,2550,45904,110226,110226
Fisher College,0,2018,2018-0,6393,89502,132312,132312
Fitchburg State University,0,2018,2018-0,1835,27530,50755,50605
Framingham State University,0,2018,2018-0,2341,37459,74918,60727
Gordon College,0,2018,2018-0,1434,20073,152635,152635
Hampshire College,0,2018,2018-0,443,5754,9521,9521
Harvard University,1217,2018,2018-1217,11347,226949,1363485,1363485
College of the Holy Cross,1221,2018,2018-1221,20926,334815,2117804,2117804
Holyoke Community College,0,2018,2018-0,529,5814,15055,13876
Lasell College,0,2018,2018-0,2375,40377,57101,61378
Lesley University,0,2018,2018-0,1758,21101,36995,36995
University of Massachusetts-Lowell,0,2018,2018-0,29457,382945,1916767,1835892
University of Massachusetts-Amherst,0,2018,2018-0,58015,870227,5324089,5324089
University of Massachusetts-Boston,0,2018,2018-0,1400,23803,135841,135841
Massachusetts Bay Community College,0,2018,2018-0,2409,28913,34913,34913
Massachusetts Institute of Technology,0,2018,2018-0,1877,26278,112063,112063
Massasoit Community College,0,2018,2018-0,1161,16260,28166,28166
Merrimack College,0,2018,2018-0,3892,50595,814731,814731
Mount Ida College,0,2018,2018-0,1351,25666,112638,112638
Newbury College,0,2018,2018-0,1881,30094,86872,86872
Nichols College,0,2018,2018-0,2085,58393,196944,193843
Massachusetts College of Liberal Arts,0,2018,2018-0,2090,25082,64465,64465
Northeastern University,1318,2018,2018-1318,32842,361258,2740955,2740955
Northern Essex Community College,0,2018,2018-0,841,10096,23301,23096
College of Our Lady of the Elms,0,2018,2018-0,1530,22957,49307,49307
Pine Manor College,0,2018,2018-0,1591,22277,50366,50366
Quinsigamond Community College,0,2018,2018-0,1735,17350,30650,30650
Regis College,0,2018,2018-0,1430,28593,129869,129869
Roxbury Community College,0,2018,2018-0,1896,18964,52410,42624
Salem State University,0,2018,2018-0,1474,25066,46081,46081
Springfield College,0,2018,2018-0,3623,43471,219392,219392
Springfield Technical Community College,0,2018,2018-0,1334,16013,25407,25407
University of Massachusetts-Dartmouth,0,2018,2018-0,2496,37444,96449,82477
Stonehill College,0,2018,2018-0,3259,48890,861318,843045
Suffolk University,0,2018,2018-0,1089,16329,65198,65198
Tufts University,0,2018,2018-0,2017,30248,163848,163848
Wentworth Institute of Technology,0,2018,2018-0,2631,47351,124296,121512
Western New England University,0,2018,2018-0,5671,90731,139813,139813
Westfield State University,0,2018,2018-0,1676,30176,85962,82936
Wheaton College,0,2018,2018-0,2587,43981,156562,156562
Wheelock College,0,2018,2018-0,2720,40794,60309,60309
Williams College,0,2018,2018-0,4766,76252,211853,211853
Worcester Polytechnic Institute,0,2018,2018-0,3208,44907,306761,298227
Worcester State University,0,2018,2018-0,2192,28493,77373,77373
Adrian College,0,2018,2018-0,1073,26817,105385,105385
Albion College,0,2018,2018-0,1696,49170,232025,232025
Alma College,0,2018,2018-0,3731,93278,227041,227041
Alpena Community College,0,2018,2018-0,1609,22524,84442,84442
Andrews University,0,2018,2018-0,1127,16900,38101,38111
Aquinas College,0,2018,2018-0,4282,51386,267226,240179
Calvin College,0,2018,2018-0,2489,37331,134168,134139
Central Michigan University,1141,2018,2018-1141,25154,452773,1864613,1864613
Mott Community College,0,2018,2018-0,3084,33927,117686,117686
Concordia University-Ann Arbor,0,2018,2018-0,1866,41054,360405,339655
Davenport University,0,2018,2018-0,4521,76854,503492,503492
Delta College,0,2018,2018-0,1144,16016,44049,44049
University of Detroit Mercy,1178,2018,2018-1178,27072,433156,2502061,2350993
Eastern Michigan University,0,2018,2018-0,10178,162849,1876260,1876259
Ferris State University,0,2018,2018-0,5914,94628,728824,677029
Glen Oaks Community College,0,2018,2018-0,1615,14538,42511,38378
Gogebic Community College,0,2018,2018-0,1792,34050,86641,84392
Grace Bible College,0,2018,2018-0,3992,51896,75398,75398
Cornerstone University,0,2018,2018-0,1324,38391,288255,288255
Grand Rapids Community College,0,2018,2018-0,3569,49967,77467,77467
Grand Valley State University,0,2018,2018-0,5930,100809,702326,706474
Great Lakes Christian College,0,2018,2018-0,1308,16999,20189,20189
Henry Ford College,0,2018,2018-0,1090,16356,45176,45176
Hope College,0,2018,2018-0,2352,32925,242691,242691
Jackson College,0,2018,2018-0,1699,23782,67534,67534
Kalamazoo College,0,2018,2018-0,2017,32264,120955,102802
Kalamazoo Valley Community College,0,2018,2018-0,1543,23140,59496,59496
Kellogg Community College,0,2018,2018-0,772,11578,38798,38798
Lake Michigan College,0,2018,2018-0,2443,26875,85546,85546
Lake Superior State University,0,2018,2018-0,6120,85685,461825,461825
Lansing Community College,0,2018,2018-0,3571,49987,166144,158155
Lawrence Technological University,0,2018,2018-0,3153,40986,322240,322240
Macomb Community College,0,2018,2018-0,1737,27793,77946,66056
Madonna University,0,2018,2018-0,1736,43392,312445,309045
Marygrove College,0,2018,2018-0,2757,52376,172876,172876
Rochester College,0,2018,2018-0,3619,65136,379058,378483
University of Michigan-Ann Arbor,1276,2018,2018-1276,97541,1658202,16913194,8800186
Michigan State University,1277,2018,2018-1277,143215,2577865,17548611,10975215
Michigan Technological University,0,2018,2018-0,10264,153954,827545,784912
University of Michigan-Dearborn,0,2018,2018-0,1303,33882,93170,94508
Mid Michigan Community College,0,2018,2018-0,1958,31323,66624,58211
Muskegon Community College,0,2018,2018-0,2166,25991,68426,63222
Northern Michigan University,0,2018,2018-0,5799,86991,610956,605355
Northwood University,0,2018,2018-0,4960,114090,789397,789397
Oakland Community College,0,2018,2018-0,2750,38500,85187,85187
Oakland University,1324,2018,2018-1324,22787,364589,2110672,2110672
Olivet College,0,2018,2018-0,3112,87133,194337,188488
Saginaw Valley State University,0,2018,2018-0,5162,87755,598289,598289
Schoolcraft College,0,2018,2018-0,1539,23081,61134,61134
Siena Heights University,0,2018,2018-0,1881,62082,334334,327432
St Clair County Community College,0,2018,2018-0,1798,23372,55843,55843
Spring Arbor University,0,2018,2018-0,5353,69591,319790,319790
Finlandia University,0,2018,2018-0,2470,32110,104393,104393
Wayne County Community College District,0,2018,2018-0,3193,31930,79073,79073
Wayne State University,0,2018,2018-0,5909,82722,741124,741124
Western Michigan University,1444,2018,2018-1444,28808,432127,2374548,2374548
Anoka-Ramsey Community College,0,2018,2018-0,2340,35094,62938,62938
Augsburg College,0,2018,2018-0,1251,27516,179110,179110
Riverland Community College,0,2018,2018-0,1597,25547,52017,42673
Bemidji State University,0,2018,2018-0,4673,65424,395167,395167
Bethany Lutheran College,0,2018,2018-0,1900,30395,103062,100274
Bethel University,0,2018,2018-0,1596,35107,208860,208860
Central Lakes College-Brainerd,0,2018,2018-0,1737,29529,73528,73528
Carleton College,0,2018,2018-0,3072,36866,210513,194598
Concordia College at Moorhead,0,2018,2018-0,1645,42760,192548,192548
Concordia University-Saint Paul,0,2018,2018-0,7167,100343,492865,492865
Dakota County Technical College,0,2018,2018-0,4304,64556,98244,98244
Martin Luther College,0,2018,2018-0,2045,34768,53845,53845
Minnesota State Community and Technical College,0,2018,2018-0,1596,23940,51757,51757
Minnesota West Community and Technical College,0,2018,2018-0,1544,20073,42206,42185
Gustavus Adolphus College,0,2018,2018-0,1731,48461,177694,177694
Hamline University,0,2018,2018-0,2168,39016,178347,178347
Hibbing Community College,0,2018,2018-0,1932,27054,45754,45754
Itasca Community College,0,2018,2018-0,1711,18817,40993,40993
Macalester College,0,2018,2018-0,1542,29304,185268,185268
Minnesota State University-Mankato,0,2018,2018-0,8384,117376,628002,628002
Mesabi Range College,0,2018,2018-0,2084,22927,36072,36072
University of Minnesota-Twin Cities,1278,2018,2018-1278,128019,2048303,14172048,7997511
University of Minnesota-Crookston,0,2018,2018-0,7294,116700,464556,464556
University of Minnesota-Duluth,0,2018,2018-0,5043,80686,494941,494941
University of Minnesota-Morris,0,2018,2018-0,2652,29174,102416,96894
Minnesota State University Moorhead,0,2018,2018-0,6444,96666,490242,477988
North Central University,0,2018,2018-0,1425,22806,41893,41893
